,MDG,ITA,PRT,CAN,HUN,BLR,SLV,SDN,BHS,ETH,AIA,MCO,SYR,LCA,BGR,USSR,PAK,MHL,VNM,ESP,ARM,LKA,KNA,KOR,NZL,AUT,SVK,KAZ,MAC,UZB,MWI,PRY,COD,JOR,HRV,PER,MLI,IND,GRL,NIC,GBR,LTU,PNG,GTM,HND,EGY,FIN,ARG,ROU,FRA,TUN,LUX,BOL,ISR,URY,LBY,AND,IRL,KEN,CCK,HTI,IRQ,ARE,TCD,ZMB,USA,PYF,GRC,MAR,ECU,IDN,SVN,JAM,THA,CRI,NFK,TWN,LIE,TCA,OMN,CHN,VEN,SAU,LBN,GLP,PHL,AZE,BRN,IRN,BEL,GUY,DNK,ZAF,TUR,NLD,EST,COL,CYP,UGA,KWT,MEX,RUS,MLT,GEO,MTQ,DEU,PAN,MUS,FRO,LBR,SUR,HKG,MRT,CIV,JPN,BRA,SEN,BRB,ABW,MMR,YUG,TZA,YEM,ISL,KGZ,POL,SGP,CZE,ATG,SWE,BHR,NCL,NGA,CHL,VGB,COK,MYS,CUB,SMR,ANT,CMR,CSK,VCT,BMU,NOR,BLZ,GHA,SWZ,LVA,DOM,AUS,GUF,CYM,CHE,UKR,VUT,GIN,TTO,DZA,ZWE
1963,0.0,0.02666903893497623,0.0,0.057236904223018276,0.023094502862544105,,,,0.00017357458447296443,,,7.714425976576197e-05,,,0.0,0.002969623709156636,0.0,,,0.008787510733650012,,0.0024852724594992635,,0.0,0.017056194325813522,0.005590121067188183,,0.0,,,0.0,0.0,,0.0,,0.0,,0.014224725236191678,,0.0,0.03772795862528663,0.0,,0.007505785819482431,0.0,0.0,0.020683725186144707,0.024736014505633692,0.016110877340626974,0.02399064776773591,0.0,0.0014601888865511837,0.0,0.010742010344892732,0.004954936185211801,0.0,,0.0,,,,0.0,0.0,,,0.289041613878559,,7.268136870493277e-05,0.006783727236599107,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0003211422025855015,,,0.004492032676863309,0.005886586004406329,0.0,0.0027929728592467912,,0.0021427569555067974,,0.0,0.09442616784295726,0.018036007345390893,,0.0020301976934629998,0.0034062420502563567,0.0,0.016320519955066552,0.0,0.0,,,0.0,0.018412476202293155,0.0,,,,0.13345160111413007,0.0,,,,,0.0034781226791536068,,0.0,0.06563720427595873,0.0014395541457397128,0.0,,,,0.01141910372396381,,,0.0,,0.008933395718058035,0.0,0.0,,0.02706274369434479,,,0.0,0.050193477770797364,0.0,,0.0,0.02477968649860087,,,,0.022402313363285378,0.0,0.0,0.0398104910728517,0.0,,,,0.0,0.015202526626890183,,0.0,0.018749070376989585,0.0,,,0.00014055450358837693,0.0,0.0
1964,0.0,0.04182376192450841,0.0,0.023161944336479945,0.012231537650945545,,0.0,,0.03658151930658855,,,0.0,0.0,,0.07187996991300723,0.008610066833751045,,,0.0,0.03339389533468481,,0.0,,0.03090001473128409,0.02158311900088216,0.023691567523320627,,,,0.0,,,,0.0,,0.0,,0.001854549568365358,,,0.07147778668816532,,,,0.0,0.0,0.01288294521024784,0.0015718482905982905,0.01196756916329285,0.050386295353298756,0.0,0.0018083838067390699,,0.006468912518947142,0.010459305743570247,,,0.0,0.0,,0.0,0.0,0.0,,,0.24047988895850742,,0.0007888955473280063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029057017543859646,,,0.0029168407128933446,0.011444431717391831,0.0029355052329429056,0.0,,0.0,,,0.0,0.0030968045112781954,,0.007422450234950235,0.015155209266567628,0.0,0.016608247866420626,0.0,0.0013058092966333962,0.0,,0.0,0.005618908382066277,0.0,0.0,,,0.079959228391178,0.013819749025341131,,,0.0,,0.002137461709830131,,0.0,0.05709611105977408,0.007764028125870233,,,,0.0,0.02655017992914665,,,0.027428376630679263,,0.008646234139120529,0.0,0.0,,0.05092215592258876,,,,0.0,0.0,,0.0,0.0,,0.0,,0.005220574274366845,0.0,0.0,0.03675314539333501,,,,,0.0,0.019829428770584873,,0.0,0.0178647413489865,0.0,,,0.0,,0.012050438596491228
1965,,0.023389593153997943,0.001974118428447471,0.03909943824823954,0.011932338992976377,0.0,0.0,,0.0002498089696114736,,0.0,0.0,0.0,,0.0,0.002454740325161396,,,0.0,0.009492293386561818,,0.0,0.0,0.02198696354488984,0.001799513856081325,0.007724664293170729,,,0.0,,,,,,0.0,0.0013459945195970586,0.0,0.006403798153813713,0.0,,0.032442337755513175,0.0,,0.0,,0.0,0.002046809189171094,0.0030012600502165574,0.0,0.0406008712134796,0.02121974076176053,0.002886697003695769,0.0,0.005122268672568445,0.0,0.0,0.0,0.02512445678676782,0.0,,,0.0,0.0,,0.0,0.23946232734358858,,0.0013808989057019201,0.02324797843665768,0.0,0.0,0.0,0.0,0.0,0.012315013239568018,0.0,0.0,0.012142633705680148,0.0,,0.03025122869738596,0.026620837391979395,0.0,0.0,,0.0,,0.0,0.0,0.01003872137243854,,0.02957360768368841,0.01629287762511736,0.0,0.007842976301732299,,0.004104688572751057,0.0,,0.0,0.006958492836436016,0.0,,,0.0,0.11285739610457245,0.022369066562823236,,0.0,0.0,,0.0023807474280332494,,,0.06918967755894455,0.010355934046989184,0.0,0.0,,,0.02119165766241377,,0.0,0.026974956345035793,,0.001920566481606491,0.0,0.0,,0.04015373439754273,,,0.0,0.0014942364792479412,0.0,,0.0916981442902149,0.0,,0.0,,0.006925265818162599,,0.0,0.018495227557625706,,,,,0.0,0.024630983003102465,,0.0,0.015429343526240008,0.0,,,0.0,,0.0
1966,,0.024563597777883493,0.0,0.04262669727056444,0.0037951527511967086,0.0,0.0,,0.004964513329089929,,,0.01018503347486864,0.0,,0.0,0.006591512419324314,0.0,,,0.005786855998152057,,0.0,,0.01169068352043465,0.0008498545105687963,0.013710352020791582,0.0,0.0,,0.0,,,0.0,,0.0,0.010691391941391942,0.0,0.013225407325682054,,0.010139324960753536,0.07011567863054613,,0.0,0.005952380952380952,0.0,0.033074529584710584,0.014917300343124513,0.03288940878933607,0.004265511401500412,0.045095157310129835,,0.006710476133553056,0.0,0.021014847992869963,0.0,,,0.0014815079848208483,0.0,,0.0,0.0,,,,0.2697702529400979,0.0,0.009678324321181464,0.016728409970168213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001910536553393696,,,0.12152434050543295,0.01876811049564766,0.0,0.0,,0.0059683702540845405,0.0,,0.012631257631257631,0.014226302057790425,0.0,0.05505336090864534,0.011088593945736802,0.003197496947496948,0.018004583856434213,,0.0,0.0,,0.0,0.003992571581857295,0.0,0.0,,,0.05630355831592096,0.0,,,,,0.016466674859532,,0.0,0.09823261085260115,2.0350020350020348e-05,0.0,0.0,,,0.00013736263736263736,,,0.0,,0.01613638963146073,0.0,0.0,0.0,0.023258959469568713,,,0.0,0.018391435484599674,0.0,,0.00018315018315018315,0.0,,,0.0,0.010733590915596407,,0.0,0.0026763026350938445,,,,,0.0,0.012800631145411365,,0.0,0.06691714372528046,0.0,,,0.003108564715707573,,0.0019093406593406594
1967,,0.04388479595727069,0.041861554450840166,0.05835866410901281,0.0011628527150505169,0.0,0.0,,0.0031072888557132253,,,0.015211705681269012,,,0.02259224922065564,0.008803975732304755,0.0,,,0.01113059131966695,0.0,0.0,,0.0,0.053981591716554145,0.039985157277901286,,,,,0.0,,0.0,0.0,0.0,0.0,,0.005134104924020892,0.0,0.004479911622768766,0.04625639979409371,0.0,,0.0,,0.0004709576138147566,0.01325969580325422,0.006779956737939927,0.006768085140337886,0.047283318869655346,0.008441769870341299,0.01977337059689788,0.0,0.030328832963165544,0.0,,,0.006630363683935109,0.0033810105238676665,,0.0,0.0,0.0,,0.0,0.27870330727473586,0.0,0.01361594424094424,0.000351037851037851,0.0,0.0008059698238269667,0.0,0.0003663003663003663,0.0,0.0050381870368134095,0.0,0.0,0.007764865755937184,,,0.017267588883619903,0.0009756188800306447,0.0,0.0,,0.013298011512297224,,,0.0,0.017533783778839997,0.0,0.008503353204589469,0.007249575043692691,0.0,0.04206242952638778,,0.0,0.0,,0.0,0.022273099179005773,0.0,0.0,,,0.19200793947847883,0.0,,0.0,0.0,,0.04434320639677782,,,0.02388793992701599,0.006651042066160037,0.0,0.01123408337694052,,,0.0,,0.0,0.0011952399452399452,,0.004145807895807895,0.12584718191861047,0.0,,0.048693319208025096,0.0,,0.002545206116634688,0.0020345395345395343,0.0,,0.0,,,,,0.013868286137597706,,0.0,0.005382714177357035,,,,0.0,,0.005591458325431977,,0.0,0.010046506073291788,0.0,,,0.0,,0.00770528083028083
1968,0.0,0.02654707173139156,0.03622370980237024,0.06331577445284609,0.0023485097858227176,0.0,0.04511378683237458,0.0,3.245067497403946e-05,,,0.0,,,0.058031902619130035,0.04218084591267354,,,,0.009348718469839661,,0.0,0.0,0.011091701771104375,0.014070114388131006,0.0012402682314416478,,,0.0,,,,,,0.0,0.009321414902931003,,0.0003554808331547688,,0.0,0.07475648942419451,,,0.0,0.0,0.0,0.005321477491778634,0.044498424719356534,0.011751833567277038,0.02425743372577714,0.0,0.005021004436892286,0.014859730669699516,0.012013852460373746,0.0,,0.0,0.022781164688920774,0.0016033723977649215,,0.0,0.0,0.0,,,0.2633462586603813,,0.0030204882229804345,0.005743341189213464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045188779597184715,,,0.0074460576537419745,0.002138749101365924,0.03430544566967205,0.0,,0.0,,0.0,0.0,0.010465767548986354,,0.011756785565464023,0.012330866771837083,0.0051400602798654235,0.03530928682034295,0.0,0.0007334882724290825,0.0,0.0,0.0,0.021922926790528038,0.0,0.0,,,0.11573859076054273,0.0,,,0.0,,0.019768892572936313,,,0.04692144572115252,0.013062751060964366,,0.0,,,0.000922011241325883,0.0,,0.0003708648568461653,,0.0004619752019880296,0.0007290584977500867,0.0,0.0,0.012556293328123093,0.0,0.0,0.01394050091479998,0.0004009461174570209,0.0,0.0,0.0,0.0,,0.0,,0.013578427564286701,,0.0,0.003485493536116589,,,,,0.0,0.009200687153698577,,0.0,0.022248993169179776,0.0,,,0.0,0.012857678550824968,0.0
1969,0.0,0.10764952748736203,0.018641855217010977,0.05766096127921156,0.010032682501529853,0.0,0.007805709395792468,,0.005462974297346053,,,0.005814205697383267,0.0,,0.027679082588447975,0.010453350920740961,0.0,,,0.002550586552403791,,0.000871120341525326,0.0,0.0,0.04232184960595629,0.0048159547997161465,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0012578328031339458,,0.006284369835771705,,0.0,0.09859211027234673,0.0,0.0,0.0,0.0,0.0,0.011088864336781811,0.013916152292440377,0.009872970017947737,0.05277207804790879,0.0,0.07781619634666376,0.0,0.013327045458793782,,,0.0,0.021091625694028126,0.0,,0.0,0.0,0.0,,,0.22508652957943873,0.0,0.006362649738556938,0.0,0.006890566982726901,0.0,0.0,0.0,0.0,0.0,,0.0,0.010996800495762075,,,0.0005892630503222404,0.015894408543145392,0.0,0.002645326626375433,,0.003985838831373622,,,0.0021768424740906574,0.020046429737968084,,0.008647059904840968,0.008779509402562367,0.0,0.022493000173665643,,0.0,0.0,,0.0,0.010600650294830876,0.0,0.0,,,0.02622464326275696,0.0,,,,,0.008690510241652504,,,0.07586159345634944,0.013886769032522733,,,,0.0,0.0003014307142032999,0.0,,0.059014527512016,,0.011065595758612377,0.005156850842970868,0.0,0.0,0.023352195980051643,,0.0,0.020444852395786976,0.008089055765587438,0.0,,0.0,0.0,0.0,0.0,,0.001881521040399545,,0.0,0.008563434997754828,,,,,0.0,0.019746949680877268,,0.0,0.014464610473177457,0.0,,,0.01642725279796931,,0.0017064247528941192
1970,0.0,0.06961872801016648,0.05407931080100891,0.05968438218993161,0.002537704250139472,0.0,0.0,0.0,0.0,0.0,,0.0035309681333940096,,,0.005104909976481247,0.016939272299607094,0.0011707926195796818,,,0.011178973943727813,,0.0,,0.010510968457308364,0.012269875726749044,0.006729663218881548,0.0,,,,,,,0.0,,0.0011506153824213123,,0.01465479279336898,,0.0,0.06707007634825936,,,0.005281735335643691,0.0,0.0,0.007288302771350012,0.012556353199091428,0.01729410209403199,0.016808944275251557,0.0,0.045846778009850785,0.028732139129713258,0.004477640744841766,,,0.0,0.005072203756059621,0.0019475463141231334,,0.010010482180293498,0.0,0.0,,0.0,0.206163651662304,,0.004167522303521985,0.0003810340602793433,0.0,0.0,0.0,0.0015513626834381547,0.0,0.0,0.0,0.0,0.003099601805801267,,0.0,0.0,0.010958898703666424,0.0,0.010674395735042634,0.0,0.000346553715825953,,0.0,0.019003914000544728,0.01643529139822941,,0.019449067329795094,0.017545256106576857,0.0,0.03136389358549572,,0.004544388176463648,0.0,,0.0,0.03133459389732703,0.0,,,,0.04789951924385886,0.00014375561545372864,0.0,,0.0,,0.01855780674850756,,,0.08422082844807599,0.007869122491764,,0.0,,0.0,0.008557378779750748,,0.0,0.01233904971438664,,0.021640361296257408,0.0,0.0,0.0,0.03363903878391751,,,0.0,0.022856287168955634,0.0,,0.0,0.002031344790778753,,0.0,,0.002600050693042607,,0.0,0.005347730536409783,,,,,,0.011051646336751446,,0.0,0.06798881868325386,0.0,,,0.0,0.0,0.0
1971,,0.027788142650993424,0.008566958273177145,0.0924127762473978,0.008697099916036847,0.0,0.0,0.0,0.017596886567278796,,,0.0031914715002135568,0.0,0.0,0.010311788228381098,0.007704539287501268,0.0,,0.0,0.0073807287148230545,0.0,0.0,,0.0,0.015476269414504583,0.036089825400466145,,,,0.0,,,,0.0,0.0,0.0,,0.01588267430381549,0.0,0.0,0.08478861904498279,,0.0,0.0,0.06218988305972872,0.0,0.015976135571368694,0.014541091020540927,0.011006612104009574,0.021545934070925043,0.0,0.006240232773413552,0.011506019776343756,0.016164197531384088,0.019481133113856224,,0.0,0.021973989678990002,0.01485988416194366,,0.0,0.0,0.0,,0.0,0.17968821230767656,,0.006816982999262969,0.0,0.0,0.007706711882913255,0.0,0.0,0.039334824421639256,4.014613192018949e-06,,0.0,0.009838433125281959,,,0.016815747293591345,0.010450403489102589,0.0,0.0002288329519450801,,0.003995267311547395,,,0.004458636318205149,0.009432920487748289,0.0,0.007697726595278392,0.002356918277858736,0.006882247128242551,0.02664419487500385,,0.00497354207699866,0.0,,0.0,0.015606997869403026,0.0,0.0,,,0.04832783696513674,0.0013696879602452356,,0.0,0.0,,0.007233561426665501,,0.0,0.0457585592970683,0.008219508476945544,,0.0,,,0.007635956680868395,0.0016252918197998288,0.0,0.0,0.0,0.005975436018342197,0.006114123745038508,0.0,0.0,0.10079492913735794,,,0.012589892510102074,0.009552659580009136,0.0,0.0,0.0,0.0002288329519450801,0.0,0.0,,0.022323771305383783,0.0,0.0,0.009967122227777483,,,,,0.0,0.014206200044174977,,0.0,0.010346528514157502,0.0,,,0.0033897578170023986,,0.001106043820574713
1972,0.0,0.01635974222163695,0.018882652681928763,0.07294516323945942,0.01825516129811351,0.0,0.0,0.0,0.02472619944380758,,,0.014025954767428555,0.006646416057335595,,0.006582681383615355,0.01693922404983878,0.0,,0.0,0.004267967558197444,,0.0,,0.022258020254475805,0.004954100988128421,0.01933708638292659,,,0.0,,,,,0.007963709315757649,0.0,0.001857034766895625,,0.002736301197736694,,0.01431977268073643,0.048888921498698425,,0.0,0.0,0.0,0.0030657790364934188,0.014790092661686812,0.014148791589478302,0.01913590044307183,0.047774689727229654,0.016557481045125888,0.01470885671062985,0.0015509535900782585,0.0006198718676614343,0.0,0.0,0.0,0.002204080508678209,0.0,,0.0,,0.0,,0.0,0.19692060961350685,,0.0020281228652372033,0.0,0.0,0.021749650954675136,0.0,0.0037032358871439317,0.0,0.0,,0.0,0.004507406195342293,0.0,,0.0066060098962278015,0.015597249425848694,0.0,0.0,,0.013618529765744618,,,0.014308458014009824,0.00580627459671494,,0.008468158343452069,0.004235090503631465,0.006122993120119555,0.01535075698446774,0.0,0.008099869322423108,0.0,,0.0,0.00846647738373584,0.0,0.0,,,0.09629993155710345,0.004061637146296739,0.0,0.0,0.0,,0.0002530842605997337,,0.0,0.05664196869611245,0.00818253722486702,,,,0.0,0.017172777720440343,0.0,,0.0018224461468764987,,0.0058839294784021655,0.06097455369092207,0.0,0.0,0.02680459997068696,0.0,0.0,0.0,0.003253859562251271,,,0.0,0.024377582335142013,0.0,0.0,0.0,0.01780847813014006,,0.0,0.018261663304766754,0.0,0.0,0.0,,0.0,0.03992455188107014,,0.0,0.03623676464013708,0.0,,,0.002775436343628209,0.0,0.0
