,MDG,ITA,PRT,CAN,HUN,BLR,SLV,SDN,BHS,ETH,AIA,MCO,SYR,LCA,BGR,USSR,PAK,MHL,VNM,ESP,ARM,LKA,KNA,KOR,NZL,AUT,SVK,KAZ,MAC,UZB,MWI,PRY,COD,JOR,HRV,PER,MLI,IND,GRL,NIC,GBR,LTU,PNG,GTM,HND,EGY,FIN,ARG,ROU,FRA,TUN,LUX,BOL,ISR,URY,LBY,AND,IRL,KEN,CCK,HTI,IRQ,ARE,TCD,ZMB,USA,PYF,GRC,MAR,ECU,IDN,SVN,JAM,THA,CRI,NFK,TWN,LIE,TCA,OMN,CHN,VEN,SAU,LBN,GLP,PHL,AZE,BRN,IRN,BEL,GUY,DNK,ZAF,TUR,NLD,EST,COL,CYP,UGA,KWT,MEX,RUS,MLT,GEO,MTQ,DEU,PAN,MUS,FRO,LBR,SUR,HKG,MRT,CIV,JPN,BRA,SEN,BRB,ABW,MMR,YUG,TZA,YEM,ISL,KGZ,POL,SGP,CZE,ATG,SWE,BHR,NCL,NGA,CHL,VGB,COK,MYS,CUB,SMR,ANT,CMR,CSK,VCT,BMU,NOR,BLZ,GHA,SWZ,LVA,DOM,AUS,GUF,CYM,CHE,UKR,VUT,GIN,TTO,DZA,ZWE
1963,0.0,0.005106294691819623,0.0,0.013479285517997906,0.0008633186599734042,,,,0.0,,,0.0,,,0.0,0.00017440947905917397,0.0,,,0.00042955326460481093,,0.0,,0.0,0.0,0.0007425097052700671,,0.0,,,0.0,0.0,,0.0,,0.0,,0.00012790964558269418,,0.0,0.02309216690922982,0.0,,0.0,0.0,0.0,0.0007733082659444957,2.789306913018253e-05,0.0,0.016736793725011693,0.0,0.0,0.0,8.86733950062374e-05,0.0,0.0,,0.0,,,,0.0,0.0,,,0.3952157994657469,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3.506557262080089e-05,0.0,0.0,,7.363770250368188e-05,,0.0,0.0,0.0002570044911723851,,0.00015621257205519776,0.00011513575841368812,0.0,0.00875611986489327,0.0,0.0,,,0.0,7.13455373669975e-05,0.0,,,,0.038740273565647014,0.0,,,,,0.0,,0.0,0.018073076665018593,0.0,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,,0.005892803341782933,,,0.0,0.0,0.0,,0.0,0.0,,,,0.0009598403560111955,0.0,0.0,0.0010979152810627667,0.0,,,,0.0,0.0020373777869044014,,0.0,0.0069930440669973585,0.0,,,6.837786661056175e-05,0.0,0.0
1964,0.0,0.005390973548868285,0.0,0.01368877102429734,0.00039374003189792664,,0.0,,0.0,,,0.0,0.0,,8.43454790823212e-06,0.0004322833599149389,,,0.0,0.0009577776025144446,,0.0,,0.0003502680311890838,0.0,0.0015987502994081943,,,,0.0,,,,0.0,,0.0,,0.0,,,0.023760695627471944,,,,0.0,0.0,0.00010168376944692735,7.675438596491228e-05,0.0,0.010950413499755604,0.0,8.43454790823212e-06,,1.9936204146730462e-05,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.35271511292070507,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,9.968102073365231e-06,5.482456140350877e-05,0.0,,0.0,,,0.0,0.0008875974172026804,,0.0006296992481203007,0.005945901686033265,0.0,0.00348017662162399,0.0,0.0,0.0,,0.0,0.0003108003108003108,0.0,0.0,,,0.03235770899422215,0.0,,,0.0,,8.43454790823212e-06,,0.0,0.028365480158243323,0.0,,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.007813619129408601,,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0004955543360148624,,,,,0.0,0.0021621431078667924,,0.0,0.008997746588207116,0.0,,,0.0,,0.0
1965,,0.006337968346432462,0.0,0.01756842096949662,0.00032418648183063633,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,6.538578880317551e-05,,,0.0,0.00017961377950797804,,0.0,0.0,2.6159698175215722e-05,2.6450361488273677e-05,0.0006502121186480206,,,0.0,,,,,,0.0,0.0,0.0,5.87785810850526e-06,0.0,,0.02311540464864394,0.0,,0.0,,0.0,0.00011545792713135333,0.0,0.0,0.012561290567814992,0.0,0.0,0.0,0.0004986710814607129,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.33826358965002956,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.00010580144595309471,2.109511014466049e-05,0.0,0.0,,0.0,,0.0,0.0,0.0009670696277996578,,0.002103241201283874,0.001954522387426637,0.0,0.0020574925574043893,,0.0,0.0,,0.0,8.512177882659278e-05,0.0,,,0.0,0.04730520488543764,0.0,,0.0,0.0,,5.87785810850526e-06,,,0.023982738592154922,7.347322635631576e-06,0.0,0.0,,,6.906483277493681e-05,,0.0,0.0,,0.0,0.0,0.0,,0.006655544439885828,,,0.0,0.0,0.0,,5.143125844942103e-05,0.0,,0.0,,0.0003823470363763081,,0.0,0.0010250214821718965,,,,,0.0,0.00328045600043484,,0.0,0.007027889526567009,0.0,,,0.0,,0.0
1966,,0.005683426260349338,0.0,0.019288699954908742,0.0003052734302734302,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.00040142905527520913,0.0,,,0.00016105231764572425,,0.0,,1.5262515262515263e-05,0.0,0.0009509156899266789,0.0,0.0,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0390463497125585,,0.0,0.0,0.0,0.0,0.0006908412608962059,1.4866086294657722e-05,0.0,0.019754447831370908,,0.0,0.0,0.0004858089610836864,0.0,,,2.0350020350020348e-05,0.0,,0.0,0.0,,,,0.3677795279100225,0.0,0.0,0.0,0.0,0.00011207046921332636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,2.162189662189662e-05,0.0,,0.0,0.0007707105165896375,0.0,0.001152998913987925,9.194509194509195e-05,0.0,0.0038421725303593437,,0.0,0.0,,0.0,0.00013351066922495493,0.0,0.0,,,0.043908954039448556,0.0,,,,,9.157509157509158e-06,,0.0,0.02309055616747924,0.0,0.0,0.0,,,0.0,,,0.0,,0.00035866910866910864,0.0,0.0,0.0,0.007810817336916237,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0003823237202358081,,0.0,0.0006181318681318681,,,,,0.0,0.0009091579970700849,,0.0,0.015668804638584857,0.0,,,0.0,,0.0
1967,,0.014893535861538446,0.0,0.020002867031995993,2.8969428007889543e-05,0.0,0.0,,8.325008325008325e-06,,,0.0,,,0.00026949241234955525,0.0009530304859975187,0.0,,,0.0006014227683183727,0.0,0.0,,0.0,0.0,0.001743676207557914,,,,,0.0,,0.0,0.0,0.0,0.0,,2.5535362073823613e-05,0.0,0.0,0.028017104778376597,0.0,,0.0,,0.0,0.0011245779167563265,0.00028305028305028305,2.6164311878597592e-05,0.020678736746327246,0.0,0.0,0.0,0.009900108577589188,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.3827118908124485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011038069073783359,,,2.019348173194327e-05,0.0,0.0,0.0,,0.0,,,0.0,0.0024017767557683524,0.0,0.0008508486698127937,0.00042669013095645284,0.0,0.004191223953869397,,0.0,0.0,,0.0,0.0008621685853828709,0.0,0.0,,,0.0489817320822896,0.0,,0.0,0.0,,0.0,,,0.02345419414403739,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.015399398664791362,0.0,,0.0,0.0,0.0,,0.0,,,,,0.0010856807010653164,,0.0,0.00016711996794414375,,,,0.0,,0.0011459138000427594,,0.0,0.005348476093264392,0.0,,,0.0,,0.0
1968,0.0,0.004212530730840548,0.0,0.012987716858700614,0.00011717798543588051,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0019030019776385301,,,,0.0005504038863332738,,0.0,0.0,0.0,1.5078091402078943e-05,0.0007582942775127124,,,0.0,,,,,,0.0,0.0,,8.44747729482932e-05,,0.0,0.03528760337847289,,,0.0,0.0,0.0,0.0002537405769492997,0.00019961769702164304,8.309591642924978e-05,0.017066009676609213,0.0,5.408445829006577e-06,0.0,0.0016183797693403094,0.0,,0.0,0.0003028729664243683,0.0,,0.0,0.0,0.0,,,0.3684723866541182,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7337235281160517e-05,,,5.1921079958463136e-05,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0008107812361523194,,0.001574587182331059,0.0006892314686966816,0.0,0.004771238013327683,0.0,0.0,0.0,0.0,0.0,0.001104759353339159,0.0,0.0,,,0.04586549516093373,0.0,,,0.0,,2.1966610751657483e-05,,,0.019173527269588906,0.00019299332643050196,,0.0,,,0.0,0.0,,0.0,,0.00018634554265395387,0.0,0.0,0.0,0.0032999809378390413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0002965867062440271,,0.0,0.0003451464084977615,,,,,0.0,0.0013424454490211012,,0.0,0.015355208459058259,0.0,,,0.0,0.0,0.0
1969,0.0,0.013567805937888708,0.0001471097265489789,0.01795399847309475,7.696634448970898e-05,0.0,0.0,,5.172440920104472e-05,,,0.0,0.0,,9.230414214837891e-05,0.001101848229199949,0.0,,,7.262485482355985e-05,,0.0,0.0,0.0,0.00032053722955317234,0.0007380470350432478,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,3.7086485684616525e-05,,0.0,0.030838492925605802,0.0,0.0,0.0,0.0,0.0,0.0007532551596750486,7.86683029673684e-06,5.090301956712073e-06,0.023006604466770306,0.0,0.0,0.0,0.0004931654071138526,,,0.0,6.209801121535285e-05,0.0,,0.0,0.0,0.0,,,0.3375675266990323,0.0,0.0001022687938575789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.002032942670541168,,0.0011833379657962763,0.0006448437912612368,0.0,0.004701358455138005,,0.0,0.0,,0.0,0.00018053907267302907,0.0,0.0,,,0.033753415778223356,0.0,,,,,2.317905355288533e-05,,,0.028464236715679818,0.0001547239698925607,,,,0.0,0.0,0.0,,0.0,,5.418747630585637e-05,0.0,0.0,0.0,0.00856711982349543,,0.0,0.0,8.653513326410524e-06,0.0,,0.0,0.0,0.0,0.0,,9.066393374010501e-05,,0.0,0.0017129077191458842,,,,,0.0,0.0030361962244177757,,0.0,0.0072599314251855325,0.0,,,0.0,,0.0
1970,0.0,0.014317598680409844,0.0,0.025790293342417968,5.496151048711696e-05,0.0,0.0,0.0,0.0,0.0,,0.0,,,1.1230907457322552e-05,0.002030857269679213,0.0,,,0.00014335931114906855,,0.0,,0.0,0.0,0.0010039384829300794,0.0,,,,,,,0.0,,8.34295982543961e-05,,0.0,,0.0,0.039409858854919884,,,0.0,0.0,0.0,0.0003858464336900995,2.2461814914645103e-05,6.73854447439353e-05,0.017079981411279966,0.0,0.0,7.701193685021177e-05,7.473695816013875e-05,,,0.0,6.417661404184315e-06,0.0,,0.0,0.0,0.0,,0.0,0.3113882099437833,,2.9949086552860135e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.050514125985824e-05,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0006157501264128822,,0.002994868763062832,0.0010276043316712414,0.0,0.007193629793915192,,8.022076755230393e-05,0.0,,0.0,0.0008136168513527004,0.0,,,,0.04946654819732349,0.0,0.0,,0.0,,0.00029901963864228015,,,0.05597469862730683,0.0006888289907157831,,0.0,,0.0,6.9113276660446475e-06,,0.0,2.5251190622999725e-05,,6.9113276660446475e-06,0.0,0.0,0.0,0.011149032233145126,,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.00011903627469665208,,0.0,0.004031436231967387,,,,,,0.00439387244246924,,0.0,0.016000937539109417,0.0,,,0.0,0.0,0.0
1971,,0.005386145782396961,0.0,0.03434128082448852,0.0005654006333774808,0.0,0.0,0.0,1.657222767062584e-05,,,0.0,0.0,0.0,3.282250421838522e-05,0.0030493099129523947,0.0,,0.0,0.0002703472462188305,0.0,0.0,,0.0,0.00023808423121924262,0.005072526727695661,,,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.03986242613396334,,0.0,0.0,0.0,0.0,0.0062776687337529995,0.0015223912878375122,0.0,0.017699393387406583,0.0,0.0002288329519450801,0.0,0.001654810524274786,0.0,,0.0,0.00018645732604542672,0.0,,0.0,0.0,0.0,,0.0,0.3049959560501022,,0.0,0.0,0.0,1.2712941774726671e-05,0.0,0.0,0.00011695906432748537,0.0,,0.0,1.131591520607539e-05,,,5.412327461055419e-05,8.952029833036699e-05,0.0,0.0,,0.0,,,0.0,0.0009955647681115444,0.0,0.0007542896634631727,0.0002582875637795546,0.0,0.006776709409802694,,0.0,0.0,,0.0,0.0013791246568201742,0.0,0.0,,,0.04783030091533927,0.0,,0.0,0.0,,5.358919832604043e-05,,0.0,0.04821435283257196,9.178358720692817e-05,,0.0,,,1.0170353419781338e-05,0.0,0.0,0.0,0.0,0.0001472307250339287,0.0,0.0,0.0,0.01294634683230053,,,0.0,5.687115240890984e-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.004166053276128657,0.0,0.0,0.0013425321170307037,,,,,0.0,0.0027245165507381146,,0.0,0.008309399958511548,0.0,,,0.0,,0.0
1972,0.0,0.006422132760830673,7.368110816386678e-05,0.019821921685597495,0.00031205041151990753,0.0,0.0,0.0,0.0,,,0.0,0.0,,2.5316073061431152e-05,0.011062075490028371,0.0,,0.0,0.0003079339690170676,,0.0,,4.605069260241674e-05,4.314258293038134e-05,0.0027126303195643044,,,0.0,,,,,0.0,0.0,0.0007214608507711956,,4.465521706901017e-05,,0.0,0.02483925428913697,,0.0,0.0,0.0,0.0,0.0015395604327390223,0.0004919529704012462,3.0362609763698692e-05,0.02202240871698638,0.0,7.755906122512292e-06,7.736516357206013e-05,7.45683852447778e-05,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.302731376003098,,1.4736221632773356e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.00011911779153158461,5.8721610445748376e-05,0.0,0.0,,0.00022718341683858922,,,4.9120738775911185e-05,0.001197287731608985,,0.0008485601758613531,0.0005753136994360274,4.9120738775911185e-05,0.003991335016151407,0.0,0.0,0.0,,0.0,0.0008123023478263366,0.0,0.0,,,0.049344501064498704,0.0,0.0,0.0,0.0,,2.4560369387955592e-05,,0.0,0.050947152882667775,7.023784069084947e-05,,,,0.0,0.0,0.0,,0.0,,3.631957654946161e-05,0.0,0.0,0.0,0.008502878586050413,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0007645765765857304,,0.0,0.001125615949008834,0.0,0.0,0.0,,0.0,0.004128437778143646,,0.0,0.013030345298530388,0.0,,,0.0,0.0,0.0
