,MDG,ITA,PRT,CAN,HUN,BLR,SLV,SDN,BHS,ETH,AIA,MCO,SYR,LCA,BGR,USSR,PAK,MHL,VNM,ESP,ARM,LKA,KNA,KOR,NZL,AUT,SVK,KAZ,MAC,UZB,MWI,PRY,COD,JOR,HRV,PER,MLI,IND,GRL,NIC,GBR,LTU,PNG,GTM,HND,EGY,FIN,ARG,ROU,FRA,TUN,LUX,BOL,ISR,URY,LBY,AND,IRL,KEN,CCK,HTI,IRQ,ARE,TCD,ZMB,USA,PYF,GRC,MAR,ECU,IDN,SVN,JAM,THA,CRI,NFK,TWN,LIE,TCA,OMN,CHN,VEN,SAU,LBN,GLP,PHL,AZE,BRN,IRN,BEL,GUY,DNK,ZAF,TUR,NLD,EST,COL,CYP,UGA,KWT,MEX,RUS,MLT,GEO,MTQ,DEU,PAN,MUS,FRO,LBR,SUR,HKG,MRT,CIV,JPN,BRA,SEN,BRB,ABW,MMR,YUG,TZA,YEM,ISL,KGZ,POL,SGP,CZE,ATG,SWE,BHR,NCL,NGA,CHL,VGB,COK,MYS,CUB,SMR,ANT,CMR,CSK,VCT,BMU,NOR,BLZ,GHA,SWZ,LVA,DOM,AUS,GUF,CYM,CHE,UKR,VUT,GIN,TTO,DZA,ZWE
1963,1.2146780145343751e-05,0.012023955531833955,4.8587120581374944e-05,0.0329967775895941,0.0009225956465398118,,,,0.0002690653243331778,,,3.704103497187413e-05,,,0.0002967154604685621,0.003244129240295521,1.9800155952458617e-20,,,0.0014759345633199663,,1.2146780145343751e-05,,0.0020070243801359145,0.0008541195949728105,0.003752925442257183,,1.2146780145343751e-05,,,1.0209092533074097e-06,1.2146780145343751e-05,,2.4293560290687482e-05,,4.8990154245017336e-05,,0.0002977410887460563,,1.2146780145343751e-05,0.036882896505050534,1.2146780145343751e-05,,2.4293858675803112e-05,2.4293560290687482e-05,4.877575384452647e-05,0.0026722495132223702,0.00031815160151067105,0.00011012933405595625,0.032813842529073274,2.4293560290687482e-05,0.00033117347557861564,2.4293560290687482e-05,0.0031776318350458586,1.2146780145343751e-05,1.9800155952458617e-20,,0.0007467257015020274,,,,1.2146780145343751e-05,1.2146780145343751e-05,,,0.9889592987691564,,0.00010023696892267204,1.2146780145343751e-05,1.9800155952458617e-20,6.0733900726718685e-05,,2.4293560290687482e-05,9.863459392064136e-05,2.4293560290687482e-05,1.2146780145343751e-05,0.00651738637577191,0.00022518883954769813,,,0.0002470530930009672,0.0003182633813697721,0.00015790814188946852,2.4293560290687482e-05,,7.291439822779637e-05,,2.4293560290687482e-05,1.3167689398651143e-05,0.004564998623572838,,0.0029784720964334916,0.0019128568077144124,1.2146780145343751e-05,0.009368422655963295,1.2146780145343751e-05,9.777493569859279e-05,,,2.4293560290687482e-05,0.0008670797787321737,0.0004021447974804718,,,,0.08311898652540549,4.8587120581374944e-05,,,,,0.0010466830391087348,,1.1506684311925086e-07,0.1035394203149817,0.0006710668429713438,1.9800155952458617e-20,,,,0.0001228306473168083,,,2.4293560290687482e-05,,0.0001742034296855331,0.00014678618004090302,1.2158111860602054e-05,,0.01251745989663069,,,4.8587120581374944e-05,0.0001105109193485266,3.644034043603121e-05,,7.28806808720624e-05,1.2146780145343751e-05,,,,0.0006553615991818937,1.2146780145343751e-05,1.612134654569599e-06,0.001963666314492447,1.2146780145343751e-05,,,,1.2146780145343751e-05,0.006775451724312566,,1.2146780145343751e-05,0.015357876598515976,1.2146780145343751e-05,,,6.0734199111834305e-05,1.9800155952458617e-20,1.9800155952458617e-20
1964,1.135659713302974e-05,0.01278942388629103,0.00010377689338709983,0.0326692070855916,0.0008459276053486696,,1.135659713302974e-05,,9.24493107927736e-05,,,9.173627038069146e-05,1.135659713302974e-05,,0.0003195532763160351,0.0028895678220175656,,,1.135659713302974e-05,0.0014412169972326703,,2.3663027686432764e-05,,0.0019197447142270628,0.0008572139537503347,0.003938024227392779,,,,1.135659713302974e-05,,,,2.096970691609609e-08,,0.00010220937419726753,,0.0001854895105957386,,,0.038458374180366704,,,,4.5426388532118915e-05,1.135659713302974e-05,0.0028620126656243245,0.0003218646177107774,9.180261048461112e-05,0.03368905926449218,1.135659713302974e-05,0.0003737179753975705,,0.003767775234433792,2.315494092428629e-05,,,0.0005703336236963814,1.515247347845701e-20,,4.586813519034574e-05,2.2713194266059467e-05,2.2713194266059467e-05,,,0.9887061011788668,,0.00012708196976814862,2.2713194266059467e-05,5.724606654092489e-05,3.6126040536730906e-05,1.135659713302974e-05,1.135659713302974e-05,6.813958279817836e-05,1.135659713302974e-05,1.135659713302974e-05,0.006506185308664674,0.00022843627820299834,,,0.0003535419118731054,0.0003192697728825926,0.00019344911710559274,2.275842829688493e-05,,6.813958279817836e-05,,,2.2713194266059467e-05,0.003987846526789036,,0.003012363047131097,0.0018256304847349089,7.949617993120809e-05,0.00947299888317128,1.135659713302974e-05,9.100713735616323e-05,1.2185309635344006e-05,,1.1510957424955153e-05,0.0009735983133023267,0.00021677690382134406,1.135659713302974e-05,,,0.08269103454225143,1.135659713302974e-05,,,2.2713194266059467e-05,,0.000598134344454136,,1.135659713302974e-05,0.10530403173528612,0.0007750447431987633,,,,1.135659713302974e-05,0.0001714864202209153,,,8.08877600098082e-05,,0.00023140800552258763,0.00013689685136581572,1.135659713302974e-05,,0.013438569133391061,,,,0.00010220937419726753,1.135659713302974e-05,,3.406979139908919e-05,1.515247347845701e-20,,1.135659713302974e-05,,0.00055942532621134,1.135659713302974e-05,9.129452372246463e-05,0.001968966084397741,,,,,1.515247347845701e-20,0.0072257982696225945,,5.678298566514864e-05,0.015317010429754349,1.135659713302974e-05,,,3.752486906909986e-07,,2.2713194266059467e-05
1965,,0.01198575031663402,0.00011490920727102064,0.03167415371983801,0.0007820931539992638,8.444702804143132e-06,6.78663298073001e-07,,0.00010801644105746311,,8.837987867569263e-06,5.167060060926956e-05,1.6318649138992527e-05,,0.0002762221353870946,0.003608182333631484,,,8.159324569496265e-06,0.0017127709232052765,,8.159324569496265e-06,8.159324569496265e-06,0.0020538929826780543,0.0006905706398030154,0.0032110657855008986,,,8.159324569496265e-06,,,,,,8.159324569496265e-06,8.987190340274142e-05,3.97834324043891e-21,0.0001974609695622642,8.159324569496265e-06,,0.03769305940737528,8.159324569496265e-06,,8.159324569496265e-06,,8.159324569496265e-06,0.0033289310757701343,0.00024863975951980896,0.0001559931734186618,0.03458108747382678,9.034867737595428e-06,0.0004241273005383116,2.5353516876587947e-05,0.0035738401108829816,4.895594741697757e-05,3.97834324043891e-21,8.159324569496265e-06,0.000510362725040956,8.174548564168123e-06,,,6.221185018138291e-07,3.263729827798505e-05,,3.97834324043891e-21,0.9887227483695549,,0.00017324114261442844,1.694076764080635e-05,8.159324569496265e-06,2.7192626900780775e-05,3.263729827798505e-05,2.4477973708488784e-05,0.00010607121940345139,5.7902116365131305e-05,1.6318649138992527e-05,0.005880182796931956,0.0002558333761903904,8.159324569496265e-06,,0.0002496395641865769,0.0002819829157635551,0.00013969824023041632,8.755990260908994e-06,,5.0707033753175894e-05,,8.159324569496265e-06,4.895594741697757e-05,0.003945814066522604,,0.003104646236353801,0.0018447844345611773,2.4482180485337556e-05,0.009556716287206854,,6.646119897497617e-05,8.837987867569263e-06,,1.6318649138992527e-05,0.0007761704478582148,0.0002080565134492277,,,3.97834324043891e-21,0.08223677639657917,2.515663700656178e-05,,2.6138803209455995e-07,8.159324569496265e-06,,0.0005632991966640492,,,0.10609443637694296,0.0006225602033916831,8.159324569496265e-06,8.470383820403176e-06,,,0.00018064015148424545,,8.159324569496265e-06,4.9634610715050565e-05,,0.00029827509508653644,0.00021454308930186696,3.1105925090691655e-07,,0.013108997760341556,,,8.159324569496265e-06,8.174207156382822e-05,8.267505650080747e-06,,5.966063150682133e-05,3.97834324043891e-21,,3.263729827798505e-05,,0.0005097527057018937,,4.079662284748131e-05,0.0018138386106971724,,,,,8.159324569496265e-06,0.00692383445182092,,3.263729827798505e-05,0.014460195607405413,2.4477973708488784e-05,,,3.263729827798505e-05,,1.6318649138992527e-05
1966,,0.012763316195363356,5.658924766375602e-05,0.030824854887121562,0.0007720861301274967,7.578926142768739e-06,2.2550137703114313e-21,,7.190297574867396e-05,,,5.693287789548729e-05,2.1220815951916473e-05,,0.0002643808037571099,0.003049264155888541,2.2550137703114313e-21,,,0.0013210886905704517,,7.073605317305493e-06,,0.0019007952811607998,0.0008138396877812418,0.0036411023482834353,7.073605317305493e-06,7.073605317305493e-06,,2.1220815951916473e-05,,,1.0831069333507862e-07,,7.073605317305493e-06,3.587386106267565e-05,2.2550137703114313e-21,0.0002227906759240226,,7.073605317305493e-06,0.03969850708746423,,7.073605317305493e-06,2.8294421269221964e-05,2.8294421269221964e-05,2.8420775928888583e-07,0.0029859173524458375,0.0002871901180265358,8.62777414499013e-05,0.035291888543166575,,0.0002583329375995515,1.4147210634610984e-05,0.0036282863690940814,1.4147210634610984e-05,,,0.00043690585843130886,2.2550137703114313e-21,,2.1220815951916473e-05,3.536802658652746e-05,,,,0.9880555646467939,7.073605317305493e-06,0.00011420103126986979,7.872389511082009e-06,3.5652234345816336e-05,5.735507481660509e-05,1.4329960523234455e-05,4.951523722113843e-05,9.195686912497137e-05,4.951523722113843e-05,1.4147210634610984e-05,0.005449275821902106,0.00028412207974932193,,,0.00040645138907786465,0.00020066705497092483,0.00012047196909827586,2.9919081669248112e-05,,7.082844224747254e-05,7.073605317305493e-06,,7.073605317305493e-06,0.00417504735151314,7.073605317305493e-06,0.002748531376327637,0.001891801893164351,5.6678953217113445e-05,0.009787888957204526,,6.366381517323763e-05,3.536802658652746e-05,,2.1220815951916473e-05,0.0007379595356718768,0.0002724634017687048,1.4147210634610984e-05,,,0.08197771736087367,2.1220815951916473e-05,,,,,0.0004864254007799551,,7.073605317305493e-06,0.11157453752675775,0.0007264173428239993,2.2550137703114313e-21,1.4147210634610984e-05,,,0.00016511785148033407,,,6.390450318447013e-05,,0.00028812617353357297,0.00014240177690658736,7.660504786381917e-06,2.206787040825464e-07,0.012586782010350375,,,2.1220815951916473e-05,9.345965746054186e-05,2.1220815951916473e-05,,8.723086168397159e-05,7.660504786381917e-06,,,2.2550137703114313e-21,0.0005424164803289653,,6.366285297816386e-05,0.0017562116865340418,,,,,2.1220815951916473e-05,0.006636082108603274,,5.658884253844393e-05,0.015128799069496737,7.872389511082009e-06,,,2.8578629028510845e-05,,7.073605317305493e-06
1967,,0.012588782328145677,9.129857637823935e-05,0.029798489664714597,0.0008786459129438433,6.980325833058335e-06,7.5432953274377305e-06,,8.743748046498858e-05,,,0.00010642580542491357,,,0.0001525937626251678,0.0030855403510708654,2.108960988599448e-21,,,0.0016320876225462424,6.980325833058335e-06,1.3960651666116668e-05,,0.0019752095280567675,0.00076652727438043,0.003938434738531935,,,,,6.980325833058335e-06,,6.980325833058335e-06,6.980325833058335e-06,1.3964524611387279e-05,5.5843000735648196e-05,,0.0001678555343373253,6.980325833058335e-06,1.3960651666116668e-05,0.03730717212650998,6.980325833058335e-06,,2.108960988599448e-21,,1.3960651666116668e-05,0.0027329920601099457,0.00034638466291627166,5.9510778225865895e-05,0.033420569791942314,6.980325833058335e-06,0.00033971475646013555,6.980325833058335e-06,0.003833479038091439,2.108960988599448e-21,,,0.0005672997349182383,1.3960651666116668e-05,,1.3960651666116668e-05,6.980325833058335e-06,2.0940977499175003e-05,,2.108960988599448e-21,0.989155960574632,1.3960651666116668e-05,0.00011522972226172008,2.0940977499175003e-05,1.4523621160496062e-05,3.588516616425353e-05,7.308781903187784e-06,2.0940977499175003e-05,5.584260666446667e-05,1.4700366866612737e-05,7.190609585349573e-06,0.005586803280874808,0.00024847843516797625,,,0.00023318909118847349,0.0003867524519560491,0.00022026580018572688,5.584260666446667e-05,,5.6308023534576716e-05,,,2.0940977499175003e-05,0.004424334931448782,8.883831704443955e-08,0.0029075419859352545,0.0018179789136489176,3.490162916529167e-05,0.009697149868268291,,9.772456166281667e-05,2.8011550230559015e-05,,2.2248603782173003e-05,0.0007002480296511235,0.00030946428015688496,6.980325833058335e-06,,,0.07977449327077021,3.490162916529167e-05,,6.980325833058335e-06,6.980325833058335e-06,,0.0005856764848747464,,,0.10482076060174626,0.0006814678425321305,6.980325833058335e-06,6.980325833058335e-06,,,0.0001343516733947512,,6.980325833058335e-06,5.629694943793968e-07,,0.00023449807712559202,0.00015560956822265485,7.930324785845642e-06,,0.012788477274980501,2.0940977499175003e-05,,6.980325833058335e-06,9.83187533133888e-05,6.980325833058335e-06,,3.620431386016713e-05,,,,,0.0005488106680200734,,7.678358416364165e-05,0.0016830683400878112,,,,5.629694943793968e-07,,0.0065074392270028265,,2.834187083681581e-05,0.01551451000974342,1.4523621160496062e-05,,,3.490162916529167e-05,,6.980325833058335e-06
1968,7.449921217227936e-06,0.012303133894829841,6.727490009681573e-05,0.029917960028337097,0.0009043525675014469,3.724960608613967e-05,6.288507110554385e-07,2.727937956108891e-21,0.00014983147157341582,,,6.704929095505142e-05,,,0.00014565564843262624,0.003067533428179553,,,,0.0013431216448052277,,2.237781647961788e-05,7.449921217227936e-06,0.0017107123018474742,0.000732432406724526,0.0035708009064037392,,,7.449921217227936e-06,,,,,,1.4899842434455871e-05,5.989221968877278e-05,,0.00016670385470284407,,2.727937956108891e-21,0.03871456958348308,,,1.4899842434455871e-05,1.2577014221108742e-06,7.449921217227936e-06,0.0026568249441031072,0.00032343887956760045,0.00011289004163135972,0.03303979382498938,2.2349763651683808e-05,0.0002880605984146191,8.301339126514243e-06,0.0037200889864804176,2.727937956108891e-21,,7.449921217227936e-06,0.0006933469177380448,2.2349763651683808e-05,,2.727937956108891e-21,7.449921217227936e-06,7.449921217227936e-06,,,0.9879326777187416,,0.0001570870311727418,2.2978614362739243e-05,3.724960608613967e-05,3.724960608613967e-05,1.4899842434455871e-05,3.724960608613967e-05,6.704929095505142e-05,2.2978614362739243e-05,1.4899842434455871e-05,0.0055970530342465226,0.00019551798423692146,,,0.00021292462099985277,0.00030736370719386684,8.322996736096973e-05,3.784933222070986e-05,,6.022822044887891e-05,,7.449921217227936e-06,3.895244190471228e-05,0.004072200143170994,,0.002592599168831116,0.0015457440148556175,3.84623501483069e-05,0.009991061246859433,7.449921217227936e-06,3.754155276169557e-05,1.4899842434455871e-05,2.727937956108891e-21,4.469952730336761e-05,0.0009770828490166272,0.00017440252683163237,2.979968486891174e-05,,,0.08338882319157336,2.2349763651683808e-05,,,2.727937956108891e-21,,0.0006072444174087887,,,0.11290418994531988,0.0006830293206641369,,7.449921217227936e-06,,,0.00010546461339101359,2.727937956108891e-21,,2.3607465073794677e-05,,0.00021363357064582743,0.0001810302157153151,7.449921217227936e-06,1.4899842434455871e-05,0.011908891270134938,7.449921217227936e-06,7.449921217227936e-06,7.449921217227936e-06,6.897102167588708e-05,2.9194667555589827e-07,8.301339126514243e-06,6.045239868292839e-05,1.5125451576220194e-05,,7.449921217227936e-06,,0.00052196354649649,,2.4224383751466206e-05,0.0018093626575636339,,,,,7.449921217227936e-06,0.006618837586617925,,5.214944852059554e-05,0.015905567957681433,1.5191789110011766e-05,,,2.2349763651683808e-05,7.449921217227936e-06,1.4899842434455871e-05
1969,6.344701443172751e-06,0.01193534939202581,9.184539710647068e-05,0.02910351853809028,0.0009051693586524849,3.1723507215863746e-05,1.2689402886345501e-05,,0.00016037156846196893,,,6.439751688201623e-05,1.2689402886345501e-05,,0.00023808005307550555,0.003205727080549846,1.4057470064716041e-21,,,0.001231546512727477,,1.2689402886345501e-05,6.344701443172751e-06,0.0017472500322602946,0.0008027304086569897,0.003685133972586171,2.4225560061644207e-07,6.344701443172751e-06,,6.211116241731869e-07,1.2689402886345501e-05,,,3.1723507215863746e-05,6.4222086538389896e-06,3.825540552634986e-05,,0.00021359734723358655,,1.4057470064716041e-21,0.03771218838267761,6.344701443172751e-06,6.865997159034534e-06,2.5378805772691002e-05,2.2491952103545666e-20,5.0757611545382e-05,0.002710035460257822,0.00027670514338646305,0.00015334100048838077,0.032229641035972874,7.667157043034983e-08,0.0003238113973877072,1.903410432951825e-05,0.003288626260890352,,,6.344701443172751e-06,0.000512016292481717,6.344701443172751e-06,,6.811538593331472e-06,2.5378805772691002e-05,1.978850115603539e-05,,,0.9877075348840979,6.344701443172751e-06,7.666499644634153e-05,1.3397649736017802e-05,1.276691009701174e-05,4.447460174403008e-05,2.5378805772691002e-05,1.308339122821375e-05,8.882582020441851e-05,4.489742130344213e-05,,0.004825274298176225,0.00022566409964647031,,,0.0002325465417885956,0.00025016861741163695,0.00024824836077808716,4.0415025778779954e-05,,0.00013614000163841283,,,2.545547734312135e-05,0.00424515975617579,,0.0027311378577205055,0.0014916183080618027,6.865997159034534e-06,0.009603635339395311,,5.0758263636314464e-05,2.5900101488552784e-05,,1.9110775899948598e-05,0.0007915470937410167,0.0002930128621123982,6.344701443172751e-06,,,0.08114755710110759,1.2689992915043493e-05,,,,,0.000570704493827732,,,0.11743644441053874,0.0004972271098899093,,,,6.344701443172751e-06,7.716872349697648e-05,1.4057470064716041e-21,,5.0999867145998443e-05,,0.0002472635362572106,0.0002239323849010689,1.3417735810265013e-05,6.344701443172751e-06,0.012065800497366237,,6.344701443172751e-06,6.344701443172751e-06,8.439751614037412e-05,1.2689402886345501e-05,,0.00010785992453393674,6.344701443172751e-06,6.344701443172751e-06,6.344701443172751e-06,,0.0006767134716452098,,5.736677133303152e-05,0.001683381325397941,,,,,6.344701443172751e-06,0.0062698071407288995,,1.2689402886345501e-05,0.015012691372708041,3.882260548555364e-05,,,2.6087052622363297e-05,,1.2689402886345501e-05
1970,6.247943405138134e-06,0.01163674025897413,7.133949720644224e-05,0.02773040851226806,0.0009341100692951257,1.2495886810276266e-05,6.746809840950437e-06,1.3076068931099896e-21,0.00010111726227222633,1.3076068931099896e-21,,0.00010738005662469195,,,0.00023954476509133787,0.002895359201561881,9.411285227248275e-08,,,0.0013812950504861362,,7.008080418150986e-06,,0.001866746278234018,0.0006880253210931593,0.0037891557585510546,6.99752755513947e-06,,,,,,,7.601370130128529e-07,,6.248706368603327e-05,,0.00021554230902308188,,1.3076068931099896e-21,0.039625990729163695,,,1.2495886810276266e-05,1.3076068931099896e-21,3.8423410807538264e-05,0.0026617994512303463,0.0002221949673753257,0.00012586178934123908,0.03282966816070625,2.549064005636483e-05,0.00019695925454238318,6.248338744394246e-06,0.003897950060434726,,,6.247943405138134e-06,0.0006442332832403875,1.2495886810276266e-05,,6.247943405138134e-06,1.8743830215414397e-05,6.247943405138134e-06,,1.3076068931099896e-21,0.9875132066616428,,0.00012773155602131063,2.5242491334741562e-05,2.5242491334741562e-05,5.6482208360432226e-05,6.247943405138134e-06,1.2495886810276266e-05,9.375203213329019e-05,5.6231490646243195e-05,7.661769693559873e-08,0.00448731107921002,0.0001918141227605713,,6.247943405138134e-06,0.0003718627066751681,0.00022804040915192948,9.545151333228193e-05,1.9389843280446896e-05,6.247943405138134e-06,8.165106819525144e-05,,6.247943405138134e-06,3.2073482181134196e-05,0.004691041774421875,,0.0025984367735001884,0.0013855117060665452,2.519949091422371e-05,0.010047670459890204,,2.6006276140339278e-05,6.247943405138134e-06,,1.3319596118358324e-05,0.0007974887436230194,0.00028357504512192133,,,,0.0788427610979716,1.8743830215414397e-05,6.247943405138134e-06,,6.247943405138134e-06,,0.000518111634575663,,,0.12013668031838538,0.000540454335820682,,6.247943405138134e-06,,2.507177141890349e-07,0.0001345523551413341,,6.247943405138134e-06,5.1066243438510996e-05,,0.0002552157201744948,0.00020227817229852797,7.339789129035223e-06,6.439832736917321e-06,0.01210959882169643,,,1.8743830215414397e-05,0.00012698389622969826,6.247943405138134e-06,,2.549064005636483e-05,4.988664358123053e-07,,6.247943405138134e-06,,0.0005676831341248085,,4.5399909179268963e-05,0.001983919345166618,,,,,,0.0061835853653382485,,5.699162765925604e-05,0.01487406859330115,1.368219034114824e-05,,,2.499177362055253e-05,1.3076068931099896e-21,4.3735603835966926e-05
1971,,0.01134958357533748,6.269796527692221e-05,0.027473773993281155,0.0008495542414278812,2.3510112440226892e-05,4.702022488045378e-06,4.1601740100365915e-22,8.649133667508444e-05,,,0.00011872100661734403,4.702022488045378e-06,4.1601740100365915e-22,0.00022870957725167683,0.002736658620293501,4.702022488045378e-06,,4.1601740100365915e-22,0.0013704481847168345,4.702022488045378e-06,1.8808089952181514e-05,,0.0020219005234473255,0.0007240824905021363,0.0033243976045427472,,,,1.6413783889773066e-05,,,,3.662462584501231e-07,3.662462584501231e-07,7.523235980872605e-05,,0.00015079137661221453,4.702022488045378e-06,4.1601740100365915e-22,0.03777563123272922,,4.756115284908006e-06,4.1601740100365915e-22,2.8266227725134895e-05,4.7020224880453784e-05,0.002877232758198067,0.0003492410183565281,0.0001305153814913089,0.03286562511674271,4.702022488045378e-06,0.0003274816174861542,5.068268746495502e-06,0.0034733580401109187,3.2930000738478294e-05,,1.3711279616853111e-08,0.0006067692652181534,1.800183953454576e-07,,4.1601740100365915e-22,9.473975700845243e-06,9.404044976090757e-06,,4.1601740100365915e-22,0.9867223252005592,,0.00010830932661021779,5.1738090690659814e-05,2.3510112440226892e-05,2.8825448536808175e-05,1.4152610892116279e-05,1.4236988398326274e-05,7.291944769223411e-05,2.8578381186722388e-05,,0.004836027885853221,0.0002261894405745858,,,0.00024337579720151443,0.00026199557494194643,8.988116792066221e-05,9.738981964298532e-06,,7.720113651923553e-05,,,1.0032133102921158e-05,0.004160770417095936,1.309209341901408e-07,0.0026271048032464285,0.0013097730783566755,2.369013083557235e-05,0.009766717592168536,,3.7980265186507904e-05,4.882040883390836e-06,,1.8808089952181514e-05,0.0005434715790659585,0.00021719498597346773,4.8329434222355185e-06,,,0.07684989645394695,3.291674730237123e-05,,5.068268746495502e-06,4.702022488045378e-06,,0.0005674031608287853,,4.702022488045378e-06,0.1285479115822781,0.0006175504210248803,,1.4106067464136134e-05,,,0.00017165134730221364,9.404044976090757e-06,6.126185921064464e-07,3.761617990436303e-05,4.702022488045378e-06,0.00019447976053070046,0.00016565418315289037,5.94030149259322e-06,9.404044976090757e-06,0.011351030456648597,,,4.882040883390836e-06,7.103025919705503e-05,1.4106067464136134e-05,6.126185921064464e-07,9.511746479271897e-05,1.4106134680897211e-05,4.702022488045378e-06,4.702022488045378e-06,,0.0005622953150832031,4.702022488045378e-06,3.828289129333209e-05,0.0016190927151217395,,,,,4.702022488045378e-06,0.005961895693275119,,1.4236988398326274e-05,0.014056263312226753,4.900569667315123e-06,,,1.942070854428796e-05,,9.584063371436213e-06
1972,5.985020042910547e-07,0.011467879447630593,5.522280736863276e-05,0.025901235765265856,0.0006804171242229735,1.3558160426203408e-05,1.350875442248251e-05,3.423599639561516e-22,0.00016458569044562274,,,9.164922150601033e-05,4.502918140827504e-06,,0.00022004455479398725,0.002511728970345624,1.4739044899836643e-07,,3.423599639561516e-22,0.0011799877859521273,,4.854740033955514e-06,,0.0021115086979112455,0.0007550377565820794,0.003050822037434112,,,4.502918140827504e-06,,,,,5.101420145118558e-06,4.502918140827504e-06,2.9256747831921726e-05,,0.00026238315508173943,,4.502918140827504e-06,0.0370185707903696,,4.502918140827504e-06,9.005836281655006e-06,2.7017508844965017e-05,1.9643295593732317e-05,0.002452790706867215,0.0002788874441974053,6.455402970885614e-05,0.03228623086620181,9.12407058807879e-06,0.0003121193215977161,5.986356091834289e-07,0.003728011602955292,4.502918140827504e-06,3.423599639561516e-22,1.6899426641804617e-07,0.000639784508793954,4.502918140827504e-06,,4.502918140827504e-06,,9.12407058807879e-06,,3.423599639561516e-22,0.9864448153671598,,0.00013199396832025808,3.152042698579252e-05,2.2514590704137516e-05,3.1689421252210565e-05,1.896199646072908e-05,9.005836281655006e-06,5.0482423446521596e-05,1.838985777116679e-05,,0.004510817220256222,0.0002085389521570226,4.502918140827504e-06,,0.0003643841481959607,0.000316625480743643,6.43797248278077e-05,4.502918140827504e-06,,7.687750767565205e-05,,,9.511452181560773e-06,0.004353779172575815,,0.002334086335206359,0.0014212855185263688,1.8064378090034994e-05,0.011109104086560627,6.817600409303666e-08,4.594795912334056e-05,1.350875442248251e-05,,9.709480067911029e-06,0.0005639245244277404,0.0003261233846723711,5.453242038246569e-06,,,0.07705827462945684,1.8610174567601066e-05,4.502918140827504e-06,4.502918140827504e-06,4.502918140827504e-06,,0.0006012871023224095,,4.502918140827504e-06,0.13108341724837677,0.0004505395301781078,,,,1.8363494456438023e-05,0.00013313676457065454,3.423599639561516e-22,,3.619233939303807e-05,,0.0002604020648625876,0.0002141468824359429,1.8510884905436393e-05,4.502918140827504e-06,0.010822786851375488,4.502918140827504e-06,4.502918140827504e-06,1.0547248435509293e-06,9.64605913895529e-05,,,6.024391907062819e-05,1.8038035878038776e-05,4.502918140827504e-06,4.502918140827504e-06,3.423599639561516e-22,0.0006280595259185746,,5.4878416933774044e-05,0.0014012610320901443,4.502918140827504e-06,4.502918140827504e-06,1.350875442248251e-05,,3.423599639561516e-22,0.0057752636096658466,,5.865617013718133e-05,0.01493247682924073,3.2237163296507355e-05,,,6.099803140416111e-07,3.423599639561516e-22,1.3510027481407625e-05
